timestamp,user_query,system_response,confidence_score,index
2026-04-08T12:35:05.052972,Query 0,Response 0,0.75,0
2026-04-08T12:35:05.052977,Query 1,Response 1,0.75,1
2026-04-08T12:35:05.052979,Query 2,Response 2,0.75,2
2026-04-08T12:35:05.052981,Query 3,Response 3,0.75,3
2026-04-08T12:35:05.052983,Query 4,Response 4,0.75,4
2026-04-08T12:35:05.052985,Query 5,Response 5,0.75,5
2026-04-08T12:35:05.052987,Query 6,Response 6,0.75,6
2026-04-08T12:35:05.052989,Query 7,Response 7,0.75,7
2026-04-08T12:35:05.052991,Query 8,Response 8,0.75,8
2026-04-08T12:35:05.052993,Query 9,Response 9,0.75,9
2026-04-08T12:35:05.052995,Query 10,Response 10,0.75,10
2026-04-08T12:35:05.052997,Query 11,Response 11,0.75,11
2026-04-08T12:35:05.052999,Query 12,Response 12,0.75,12
2026-04-08T12:35:05.053001,Query 13,Response 13,0.75,13
2026-04-08T12:35:05.053003,Query 14,Response 14,0.75,14
2026-04-08T12:35:05.053005,Query 15,Response 15,0.75,15
2026-04-08T12:35:05.053007,Query 16,Response 16,0.75,16
2026-04-08T12:35:05.053009,Query 17,Response 17,0.75,17
2026-04-08T12:35:05.053011,Query 18,Response 18,0.75,18
2026-04-08T12:35:05.053013,Query 19,Response 19,0.75,19
2026-04-08T12:35:05.053015,Query 20,Response 20,0.75,20
2026-04-08T12:35:05.053017,Query 21,Response 21,0.75,21
2026-04-08T12:35:05.053019,Query 22,Response 22,0.75,22
2026-04-08T12:35:05.053021,Query 23,Response 23,0.75,23
2026-04-08T12:35:05.053023,Query 24,Response 24,0.75,24
2026-04-08T12:35:05.053025,Query 25,Response 25,0.75,25
2026-04-08T12:35:05.053027,Query 26,Response 26,0.75,26
2026-04-08T12:35:05.053029,Query 27,Response 27,0.75,27
2026-04-08T12:35:05.053031,Query 28,Response 28,0.75,28
2026-04-08T12:35:05.053033,Query 29,Response 29,0.75,29
